   1.000   0.524   1.908   1.000   1.681   -47.579   0
   1.000   0.989   1.011   1.908   1.235    -1.091   0
   1.000   1.270   0.788   1.011   0.843    26.982   0
   1.000   1.039   0.962   0.788   0.919     3.899   0
   1.000   0.938   1.066   0.962   1.040    -6.201   0
   1.000   0.984   1.016   1.066   1.029    -1.612   0
   1.000   1.018   0.982   1.016   0.991     1.808   0
   1.000   1.007   0.993   0.982   0.991     0.676   1
   1.000   0.995   1.005   0.993   1.002    -0.478   1
   1.000   0.998   1.002   1.005   1.003    -0.242   1
   1.000   1.001   0.999   1.002   1.000     0.127   1
   1.000   1.001   0.999   0.999   0.999     0.081   1
   1.000   1.000   1.000   0.999   1.000    -0.034   1
   1.000   1.000   1.000   1.000   1.000    -0.030   1
   1.000   1.000   1.000   1.000   1.000     0.015   1
