19
1    395678.9   7547079.3   0.1880
2    401932.2   7538451.8   0.2050
3    425083.4   7540056.1   0.1410
4    438179.1   7533062.3   0.1540
5    457632.4   7527240.9   0.1440
61   500088.0   7544569.4   0.1500
62   501453.7   7541259.8   0.1310
7    521223.4   7539663.0   0.1730
8    551644.2   7551455.4   0.1510
9    557454.7   7588335.5   0.1580
10   534985.9   7625108.9   0.1230
11   538332.4   7693854.8   0.1400
13   585119.3   7742613.8   0.0960
14   654015.3   7758610.6   0.1490
15   585195.6   7764297.3   0.1520
16   536703.4   7722134.7   0.1340
17   510444.7   7677470.6   0.2200
18   458135.7   7653989.1   0.1970
19   405857.5   7612888.4   0.1680
