-1425790.18564492 -979371.083921204
-1323908.81076404 -933083.877951919
-1308806.95825932 -944401.272663446
-1263634.13069618 -931890.997846895
-1246904.41192001 -922514.415275725
-1224533.99336027 -906693.742006168
-1199907.84100539 -892972.057028392
-1185221.76643351 -884954.61665521
-1137961.67519219 -890722.783103198
-1123607.64177073 -893976.08918008
-1098936.09794384 -965621.887317715
-974029.386628412 -1045731.96267652
-906271.850685749 -1089962.92296978
-877383.643344255 -1109098.52348896
-759440.4789947 -1033180.35569042
-697104.538423027 -1093289.46229354
-565187.331089592 -1168983.27722638
-433619.408558546 -1252801.34332002
-292862.817339988 -1474595.23780395
-232934.671568337 -1706216.2430413
-121200.01548687 -2104332.06599245
-165066.043723963 -2485519.93255151
-113535.615869944 -2934395.80715743
36021.4898659476 -3103230.48151124
39972.1362144376 -3241853.36663546
43767.2303420292 -3288854.00230955
39914.3283942187 -3439020.122718
15162.43955028 -3439094.66110909
-13525.5263330507 -3438733.89481919
-41055.7887111663 -3437898.79503733
-67422.7335028791 -3436668.21612729
-88614.5830643753 -3435367.51197982
-115504.197308532 -3433281.78576512
-539937.84400871 -2927048.07375066
-731677.607510099 -2889601.62732163
-865490.671524659 -3208892.69607416
-1096451.38462153 -3081048.07158724
-1091611.3175543 -3055116.19212806
-1075677.83493416 -2968948.3727928
-1123374.31791806 -2877694.35492717
-1168006.25401508 -2795498.67625151
-1244024.17909994 -2641203.42867142
-1163154.93873158 -2407191.92524094
-1050484.83515558 -2246088.70225044
-1058409.65638764 -1996381.53081709
-1148519.17167932 -1719721.92435211
-1227882.11181139 -1636276.77361836
-1341058.21594632 -1671661.83656847
-1329385.70768947 -1742406.19962581
-1409624.00535355 -1786033.16869016
-1494562.71216913 -1854342.45318803
-1649733.57688603 -1903133.06555053
-1743732.88529042 -1845230.26106101
-1745722.28300174 -1662713.64389113
-1677313.682639 -1535131.42554043
-1672332.69799289 -1519601.97201755
-1666045.98251493 -1499851.44921539
-1654335.64184487 -1451329.31890394
-1658097.79727869 -1436400.04682738
-1682044.77196042 -1346055.95557301
-1639796.6127449 -1208665.90280935
-1627334.52866919 -1181091.47281294
-1614065.71509044 -1163023.6365502
-1482893.52263586 -1068885.08337188
-1451963.32416811 -993185.199143141
-1425790.18564492 -979371.083921204
